Twilight;Rise;Burrow
2012-10-18 09:00:14;FALSE;TRUE
2012-10-18 19:05:56;TRUE;FALSE
2012-10-19 08:54:53;FALSE;FALSE
2012-10-19 19:22:52;TRUE;FALSE
2012-10-20 08:58:16;FALSE;FALSE
2012-10-20 18:44:53;TRUE;FALSE
2012-10-21 09:40:05;FALSE;FALSE
2012-10-21 18:56:16;TRUE;FALSE
2012-10-22 10:22:49;FALSE;FALSE
2012-10-22 18:53:52;TRUE;FALSE
2012-10-23 10:19:28;FALSE;FALSE
2012-10-23 19:07:57;TRUE;FALSE
2012-10-24 10:21:54;FALSE;FALSE
2012-10-24 18:54:56;TRUE;FALSE
2012-10-25 10:20:01;FALSE;FALSE
2012-10-25 19:38:36;TRUE;FALSE
2012-10-26 09:46:52;FALSE;FALSE
2012-10-26 18:48:08;TRUE;FALSE
2012-10-27 09:10:13;FALSE;FALSE
2012-10-27 19:33:33;TRUE;FALSE
2012-10-28 09:12:16;FALSE;FALSE
2012-10-28 18:31:54;TRUE;TRUE
2012-10-29 09:14:58;FALSE;TRUE
2012-10-29 18:30:24;TRUE;TRUE
2012-10-30 09:16:21;FALSE;TRUE
2012-10-30 18:44:18;TRUE;FALSE
2012-10-31 09:09:17;FALSE;FALSE
2012-10-31 18:53:48;TRUE;FALSE
2012-11-01 09:06:02;FALSE;FALSE
2012-11-01 19:02:11;TRUE;FALSE
2012-11-02 09:17:12;FALSE;FALSE
2012-11-02 18:38:59;TRUE;FALSE
2012-11-03 09:02:08;FALSE;FALSE
2012-11-03 18:05:03;TRUE;FALSE
2012-11-04 09:41:12;FALSE;FALSE
2012-11-04 17:56:45;TRUE;FALSE
2012-11-05 10:13:21;FALSE;FALSE
2012-11-05 18:13:22;TRUE;FALSE
2012-11-06 10:45:12;FALSE;FALSE
2012-11-06 18:19:59;TRUE;FALSE
2012-11-07 11:25:21;FALSE;FALSE
2012-11-07 19:05:23;TRUE;FALSE
2012-11-08 12:21:02;FALSE;FALSE
2012-11-08 19:53:49;TRUE;FALSE
2012-11-09 12:52:07;FALSE;FALSE
2012-11-09 20:02:25;TRUE;FALSE
2012-11-10 12:57:25;FALSE;FALSE
2012-11-10 20:03:34;TRUE;FALSE
2012-11-11 13:03:56;FALSE;FALSE
2012-11-11 21:10:49;TRUE;FALSE
2012-11-12 13:16:27;FALSE;FALSE
2012-11-12 21:08:13;TRUE;FALSE
2012-11-13 13:16:06;FALSE;FALSE
2012-11-13 21:33:11;TRUE;FALSE
2012-11-14 13:26:27;FALSE;FALSE
2012-11-14 20:58:10;TRUE;FALSE
2012-11-15 13:42:11;FALSE;FALSE
2012-11-15 21:05:45;TRUE;FALSE
2012-11-16 13:24:37;FALSE;FALSE
2012-11-16 21:07:48;TRUE;FALSE
2012-11-17 13:37:16;FALSE;FALSE
2012-11-17 20:40:08;TRUE;FALSE
2012-11-18 12:41:02;FALSE;FALSE
2012-11-18 19:33:05;TRUE;FALSE
2012-11-19 12:00:10;FALSE;FALSE
2012-11-19 18:03:48;TRUE;FALSE
2012-11-20 11:52:37;FALSE;FALSE
2012-11-20 17:55:32;TRUE;FALSE
2012-11-21 10:50:27;FALSE;FALSE
2012-11-21 19:07:31;TRUE;FALSE
2012-11-22 09:43:13;FALSE;FALSE
2012-11-22 18:02:20;TRUE;TRUE
